ecosystem_name,num_repos,pct_total,pct_total_running,num_subecosystems,curr_num_commits,one_month_commit_growth_pct,three_month_commit_growth_pct,curr_num_devs,one_month_dev_growth_pct,three_month_dev_growth_pct,ecosystem_label,Ethereum_rollup,Execution VM,Support Tooling?
papyrs,11,0.00%,99.75%,0,3,,,1,,,papyrs,,not labelled,
Access Labs,11,0.00%,99.75%,0,1,-92.30769231,,1,-50,,Access Labs,,not labelled,
Ergo Stats & Analysis,11,0.00%,99.75%,0,7,0,0,1,0,0,Ergo Stats & Analysis,,not labelled,
Sigle,11,0.00%,99.75%,0,1,,,1,,,Sigle,,not labelled,
evmos,11,0.00%,99.76%,0,1,-90.90909091,-93.33333333,1,-83.33333333,-80,evmos,,not labelled,
friedger-pool,11,0.00%,99.76%,0,4,-33.33333333,33.33333333,1,0,0,friedger-pool,,not labelled,
Osmium (toolchains),11,0.00%,99.76%,0,2,-92.30769231,,1,-83.33333333,,Osmium (toolchains),,not labelled,
Lightspark,11,0.00%,99.76%,0,3,,-40,1,,-50,Lightspark,,not labelled,
Ion Protocol,11,0.00%,99.76%,0,24,-52,-52,1,0,-66.66666667,Ion Protocol,,not labelled,
TempleDAO,11,0.00%,99.76%,0,1,,0,1,,0,TempleDAO,,not labelled,
Arcadia Finance,11,0.00%,99.77%,0,2,,-88.23529412,1,,0,Arcadia Finance,,not labelled,
Buidler Labs,11,0.00%,99.77%,0,1,0,-83.33333333,1,0,0,Buidler Labs,,not labelled,
ioTube,11,0.00%,99.77%,0,7,75,,1,-50,,ioTube,,not labelled,
leather io,10,0.00%,99.77%,0,158,77.52808989,426.6666667,12,33.33333333,50,leather io,,not labelled,
Elys Network,10,0.00%,99.77%,0,27,-44.89795918,42.10526316,6,-14.28571429,50,Elys Network,,not labelled,
Rabbithole,10,0.00%,99.77%,0,43,72,0,5,66.66666667,-16.66666667,Rabbithole,,not labelled,
Boost Protocol,10,0.00%,99.77%,0,43,72,0,5,66.66666667,-16.66666667,Boost Protocol,,not labelled,
idOS,10,0.00%,99.78%,0,22,266.6666667,633.3333333,4,100,300,idOS,,not labelled,
Intensive CoLearning,10,0.00%,99.78%,0,60,-26.82926829,-85.64593301,4,0,-89.18918919,Intensive CoLearning,,not labelled,
Ionic Protocol,10,0.00%,99.78%,0,53,178.9473684,6,4,100,100,Ionic Protocol,,not labelled,
Triton VM,10,0.00%,99.78%,0,62,-36.73469388,3.333333333,3,-25,0,Triton VM,,not labelled,
Yellow Network,10,0.00%,99.78%,0,6,20,20,3,50,-40,Yellow Network,,not labelled,
Yieldnest Finance,10,0.00%,99.78%,0,21,,110,3,,0,Yieldnest Finance,,not labelled,
Antalpha Labs,10,0.00%,99.78%,0,2,-92,-92.30769231,2,-66.66666667,-75,Antalpha Labs,,not labelled,
Space-ID (SID),10,0.00%,99.79%,0,2,,,2,,,Space-ID (SID),,not labelled,
PeraWallet,10,0.00%,99.79%,0,11,450,175,2,100,100,PeraWallet,,not labelled,
Encrypt,10,0.00%,99.79%,0,310,-10.91954023,-0.3215434084,2,-50,0,Encrypt,,not labelled,
JobStash,10,0.00%,99.79%,0,12,-63.63636364,-73.91304348,2,0,-33.33333333,JobStash,,not labelled,
polkagate,10,0.00%,99.79%,0,38,-62,0,2,-33.33333333,-33.33333333,polkagate,,not labelled,
Symbiosis Finance,10,0.00%,99.79%,0,23,360,35.29411765,2,100,100,Symbiosis Finance,,not labelled,
Suiet,10,0.00%,99.79%,0,2,-87.5,,2,-33.33333333,,Suiet,,not labelled,
Enkrypt,10,0.00%,99.79%,0,310,-10.91954023,-0.3215434084,2,-50,0,Enkrypt,,not labelled,
Miners Hive,10,0.00%,99.80%,0,4,,-60,2,,0,Miners Hive,,not labelled,
Desig,10,0.00%,99.80%,0,1,,,1,,,Desig,,not labelled,
WOO Network,10,0.00%,99.80%,0,1,-66.66666667,-80,1,-50,-66.66666667,WOO Network,,not labelled,
Ash Avalanche,10,0.00%,99.80%,0,3,,0,1,,0,Ash Avalanche,,not labelled,
XBacked-DAO,10,0.00%,99.80%,0,2,100,,1,0,,XBacked-DAO,,not labelled,
untangled.finance,10,0.00%,99.80%,0,1,-98.18181818,-50,1,0,0,untangled.finance,,not labelled,
Huma Finance,10,0.00%,99.80%,0,7,-66.66666667,-74.07407407,1,-75,-75,Huma Finance,,not labelled,
ChainArgos,10,0.00%,99.81%,0,5,66.66666667,-58.33333333,1,0,0,ChainArgos,,not labelled,
Rollux,10,0.00%,99.81%,0,1,,-75,1,,0,Rollux,,not labelled,
StakeSquid,10,0.00%,99.81%,0,1,-75,-97.05882353,1,0,0,StakeSquid,,not labelled,
arkadiko-dao,10,0.00%,99.81%,0,1,,,1,,,arkadiko-dao,,not labelled,
Daimo,10,0.00%,99.81%,0,2,,-88.88888889,1,,-50,Daimo,,not labelled,
iotubeproject,10,0.00%,99.81%,0,7,75,,1,-50,,iotubeproject,,not labelled,
 Cake Labs,9,0.00%,99.81%,0,42,147.0588235,366.6666667,7,0,16.66666667, Cake Labs,,not labelled,
KAGOME,9,0.00%,99.82%,0,127,2.419354839,807.1428571,7,16.66666667,40,KAGOME,,not labelled,
IPOR Protocol,9,0.00%,99.82%,0,7,16.66666667,-73.07692308,6,50,50,IPOR Protocol,,not labelled,
Celenium,9,0.00%,99.82%,0,20,-13.04347826,53.84615385,5,0,66.66666667,Celenium,,not labelled,
Warden Protocol,9,0.00%,99.82%,0,20,-44.44444444,33.33333333,5,-58.33333333,-37.5,Warden Protocol,,not labelled,
Pell Network,9,0.00%,99.82%,0,11,1000,,4,300,,Pell Network,,not labelled,
Distributed Lab,9,0.00%,99.82%,0,5,,,4,,,Distributed Lab,,not labelled,
Helio Money,9,0.00%,99.82%,0,5,-66.66666667,150,4,100,300,Helio Money,,not labelled,
Folks Finance,9,0.00%,99.82%,0,20,300,42.85714286,3,-25,0,Folks Finance,,not labelled,
Seamless Protocol,9,0.00%,99.83%,0,9,80,800,3,0,200,Seamless Protocol,,not labelled,
Bitcoin JS,9,0.00%,99.83%,0,4,,,2,,,Bitcoin JS,,not labelled,
 MetricsDAO,9,0.00%,99.83%,0,35,,150,2,,-33.33333333, MetricsDAO,,not labelled,
Symbiotic,9,0.00%,99.83%,0,2,-50,-77.77777778,2,100,0,Symbiotic,,not labelled,
Aperture Finance,9,0.00%,99.83%,0,2,-50,-88.23529412,1,-50,-66.66666667,Aperture Finance,,not labelled,
Adabox,9,0.00%,99.83%,0,1,-92.85714286,-50,1,-50,0,Adabox,,not labelled,
NerveNetwork,9,0.00%,99.83%,0,1,0,0,1,0,0,NerveNetwork,,not labelled,
IC Naming,9,0.00%,99.83%,0,35,0,-2.777777778,1,0,0,IC Naming,,not labelled,
Linear,9,0.00%,99.84%,0,1,,,1,,,Linear,,not labelled,
Ore (Regolith Labs),9,0.00%,99.84%,0,2,-60,-77.77777778,1,-50,0,Ore (Regolith Labs),,not labelled,
PaideiaDAO,9,0.00%,99.84%,0,4,,,1,,,PaideiaDAO,,not labelled,
Origami,9,0.00%,99.84%,0,4,100,100,1,0,0,Origami,,not labelled,
Ethernal,9,0.00%,99.84%,0,2,,,1,,,Ethernal,,not labelled,
Panoptic,9,0.00%,99.84%,0,2,-80,-92,1,-66.66666667,0,Panoptic,,not labelled,
Aura Finance,9,0.00%,99.84%,0,1,,,1,,,Aura Finance,,not labelled,
Magma Finance,9,0.00%,99.84%,0,1,-96.77419355,,1,-80,,Magma Finance,,not labelled,
ChaosDAO,9,0.00%,99.85%,0,1,,-50,1,,0,ChaosDAO,,not labelled,
Sunflower Land,8,0.00%,99.85%,0,96,104.2553191,380,12,33.33333333,100,Sunflower Land,,not labelled,
Hardhat (dependants),8,0.00%,99.85%,0,21,-25,-41.66666667,6,-25,-14.28571429,Hardhat (dependants),,not labelled,
DeFi Saver,8,0.00%,99.85%,0,13,-13.33333333,-56.66666667,6,0,20,DeFi Saver,,not labelled,
Agoras Tokens,8,0.00%,99.85%,0,40,-61.9047619,3900,5,25,400,Agoras Tokens,,not labelled,
Camelot,8,0.00%,99.85%,0,11,1000,266.6666667,4,300,33.33333333,Camelot,,not labelled,
Sanko,8,0.00%,99.85%,1,11,1000,266.6666667,4,300,33.33333333,Sanko,,not labelled,
Superform,8,0.00%,99.85%,0,8,,-76.47058824,3,,50,Superform,,not labelled,
Revoke.cash,8,0.00%,99.85%,0,15,,,3,,,Revoke.cash,,not labelled,
Cryptoplease,8,0.00%,99.86%,0,19,72.72727273,46.15384615,3,0,0,Cryptoplease,,not labelled,
kinto,8,0.00%,99.86%,0,4,-69.23076923,-60,2,0,-33.33333333,kinto,,not labelled,
Curio Research,8,0.00%,99.86%,0,8,166.6666667,700,2,100,100,Curio Research,,not labelled,
Roll,8,0.00%,99.86%,0,2,,,2,,,Roll,,not labelled,
Walnut,8,0.00%,99.86%,0,3,-57.14285714,-70,2,-33.33333333,-33.33333333,Walnut,,not labelled,
SynFutures,8,0.00%,99.86%,0,2,0,,2,0,,SynFutures,,not labelled,
IO,8,0.00%,99.86%,0,1,,-50,1,,0,IO,,not labelled,
f(x) Protocol,8,0.00%,99.86%,0,3,200,200,1,0,0,f(x) Protocol,,not labelled,
COLDCARD,8,0.00%,99.86%,0,1,-50,,1,0,,COLDCARD,,not labelled,
Unizen,8,0.00%,99.87%,0,1,0,,1,0,,Unizen,,not labelled,
vfat.tools,8,0.00%,99.87%,0,15,150,650,1,0,0,vfat.tools,,not labelled,
Cubist,8,0.00%,99.87%,0,1,0,,1,0,,Cubist,,not labelled,
Ouroboros,8,0.00%,99.87%,0,8,,60,1,,-66.66666667,Ouroboros,,not labelled,
Web3 Protocol,8,0.00%,99.87%,0,19,1800,1800,1,0,0,Web3 Protocol,,not labelled,
copin,8,0.00%,99.87%,0,7,40,-65,1,-50,-80,copin,,not labelled,
AladdinDAO,8,0.00%,99.87%,0,3,200,200,1,0,0,AladdinDAO,,not labelled,
RYG Labs,8,0.00%,99.87%,0,6,,,1,,,RYG Labs,,not labelled,
Vistara Labs,8,0.00%,99.87%,0,1,,,1,,,Vistara Labs,,not labelled,
El Dorado,8,0.00%,99.88%,0,35,0,0,1,0,0,El Dorado,,not labelled,
PIP Labs,7,0.00%,99.88%,0,36,414.2857143,500,10,150,233.3333333,PIP Labs,,not labelled,
Stratum,7,0.00%,99.88%,0,23,27.77777778,666.6666667,6,20,100,Stratum,,not labelled,
Alpen,7,0.00%,99.88%,0,11,57.14285714,-79.24528302,6,200,-25,Alpen,,not labelled,
Linera,7,0.00%,99.88%,0,8,-80.48780488,-65.2173913,6,-53.84615385,20,Linera,,not labelled,
charmverse,7,0.00%,99.88%,0,29,-61.84210526,-71,5,0,25,charmverse,,not labelled,
Hyperliquid,7,0.00%,99.88%,0,5,66.66666667,150,4,33.33333333,100,Hyperliquid,,not labelled,
Atoma Network,7,0.00%,99.88%,0,31,47.61904762,-11.42857143,3,0,-25,Atoma Network,,not labelled,
coordinape,7,0.00%,99.88%,0,14,180,0,3,0,50,coordinape,,not labelled,
IceFireDB,7,0.00%,99.88%,0,2,,-33.33333333,2,,100,IceFireDB,,not labelled,
Send (0xsend),7,0.00%,99.89%,0,10,-9.090909091,66.66666667,2,0,0,Send (0xsend),,not labelled,
UncensoredGreats,7,0.00%,99.89%,0,8,-20,14.28571429,2,100,0,UncensoredGreats,,not labelled,
Nayms,7,0.00%,99.89%,0,10,,,2,,,Nayms,,not labelled,
Term Finance,7,0.00%,99.89%,0,6,,500,2,,100,Term Finance,,not labelled,
ZK Shared Storage / Database / Secrets,7,0.00%,99.89%,0,3,-76.92307692,-87.5,2,-50,-60,ZK Shared Storage / Database / Secrets,,not labelled,
Paladin,7,0.00%,99.89%,0,7,,,1,,,Paladin,,not labelled,
TokenScript,7,0.00%,99.89%,0,1,-98.4375,-97.14285714,1,-83.33333333,-80,TokenScript,,not labelled,
Kraken Wallet,7,0.00%,99.89%,0,1,,0,1,,0,Kraken Wallet,,not labelled,
BlockyDevs,7,0.00%,99.89%,0,2,-80,-83.33333333,1,0,-50,BlockyDevs,,not labelled,
Wert,7,0.00%,99.89%,0,3,,,1,,,Wert,,not labelled,
Merlin (BTC L2),7,0.00%,99.90%,0,1,,,1,,,Merlin (BTC L2),,not labelled,
M0 Labs,7,0.00%,99.90%,0,3,200,200,1,0,0,M0 Labs,,not labelled,
turboflakes,7,0.00%,99.90%,0,2,,-81.81818182,1,,0,turboflakes,,not labelled,
Shentu Chain,7,0.00%,99.90%,0,3,,,1,,,Shentu Chain,,not labelled,
CENTRE,7,0.00%,99.90%,0,1,,,1,,,CENTRE,,not labelled,
Piprate,7,0.00%,99.90%,0,1,-50,,1,0,,Piprate,,not labelled,
ZKON Network,7,0.00%,99.90%,0,3,200,200,1,0,0,ZKON Network,,not labelled,
STAKEME,7,0.00%,99.90%,0,1,,,1,,,STAKEME,,not labelled,
Libertum Project,7,0.00%,99.90%,0,2,100,,1,0,,Libertum Project,,not labelled,
Mavryk Network,7,0.00%,99.90%,0,8,166.6666667,-52.94117647,1,0,-66.66666667,Mavryk Network,,not labelled,
Mercury (Bitcoin Statechain),7,0.00%,99.91%,0,2,,100,1,,0,Mercury (Bitcoin Statechain),,not labelled,
Anduro,7,0.00%,99.91%,0,3,0,0,1,0,0,Anduro,,not labelled,
JEXchangeDefi,7,0.00%,99.91%,0,3,200,,1,0,,JEXchangeDefi,,not labelled,
Arbius,6,0.00%,99.91%,0,66,-12,135.7142857,6,20,50,Arbius,,not labelled,
growthepie,6,0.00%,99.91%,0,47,291.6666667,-9.615384615,4,300,-33.33333333,growthepie,,not labelled,
Bedrock Technology,6,0.00%,99.91%,0,5,-79.16666667,-28.57142857,3,-40,-40,Bedrock Technology,,not labelled,
Fluent,6,0.00%,99.91%,0,32,300,39.13043478,3,50,-25,Fluent,,not labelled,
SonarWatch,6,0.00%,99.91%,0,36,-7.692307692,33.33333333,3,-25,50,SonarWatch,,not labelled,
WalletWasabi,6,0.00%,99.91%,0,5,25,-88.88888889,2,-33.33333333,-60,WalletWasabi,,not labelled,
ICME,6,0.00%,99.91%,0,20,-60,-9.090909091,2,100,100,ICME,,not labelled,
Ammer Tech,6,0.00%,99.91%,0,2,-75,100,2,0,100,Ammer Tech,,not labelled,
Soapbox,6,0.00%,99.91%,0,27,-77.11864407,-78.57142857,2,-60,-60,Soapbox,,not labelled,
Cryptopower,6,0.00%,99.92%,0,2,100,-33.33333333,2,100,0,Cryptopower,,not labelled,
Vertex Protocol,6,0.00%,99.92%,0,3,50,-75,2,0,-50,Vertex Protocol,,not labelled,
Panora Exchange,6,0.00%,99.92%,0,1,-75,,1,0,,Panora Exchange,,not labelled,
Rair Protocol,6,0.00%,99.92%,0,1,-96.2962963,-92.30769231,1,-75,-66.66666667,Rair Protocol,,not labelled,
Obsrvr,6,0.00%,99.92%,0,1,-85.71428571,,1,0,,Obsrvr,,not labelled,
oooo Protocol,6,0.00%,99.92%,0,6,200,0,1,0,0,oooo Protocol,,not labelled,
OAX,6,0.00%,99.92%,0,7,250,,1,0,,OAX,,not labelled,
Nabox,6,0.00%,99.92%,0,3,,0,1,,0,Nabox,,not labelled,
dragginzgame,6,0.00%,99.92%,0,2,-66.66666667,-93.5483871,1,0,0,dragginzgame,,not labelled,
Crema Finance,6,0.00%,99.92%,0,1,,,1,,,Crema Finance,,not labelled,
Nina Protocol,6,0.00%,99.92%,0,3,200,,1,0,,Nina Protocol,,not labelled,
Provable Games,6,0.00%,99.92%,0,2,-33.33333333,-66.66666667,1,0,-50,Provable Games,,not labelled,
SigmaUSD,6,0.00%,99.93%,0,1,,,1,,,SigmaUSD,,not labelled,
Ethereum Protocol Fellowship,6,0.00%,99.93%,0,1,-50,-94.73684211,1,-50,-94.44444444,Ethereum Protocol Fellowship,,not labelled,
wonderverse,6,0.00%,99.93%,0,2,100,100,1,0,0,wonderverse,,not labelled,
Fiat Connect,6,0.00%,99.93%,0,19,1800,280,1,0,0,Fiat Connect,,not labelled,
Asterizm Protocol,6,0.00%,99.93%,0,2,100,0,1,0,0,Asterizm Protocol,,not labelled,
DeepBrainChain,6,0.00%,99.93%,0,5,150,,1,0,,DeepBrainChain,,not labelled,
Asa Gold,6,0.00%,99.93%,0,2,,,1,,,Asa Gold,,not labelled,
SICK-Solana,6,0.00%,99.93%,0,1,,-87.5,1,,-50,SICK-Solana,,not labelled,
Quilibrium Network,6,0.00%,99.93%,0,6,-87.5,,1,-50,,Quilibrium Network,,not labelled,
Gas.zip,6,0.00%,99.93%,0,1,,-66.66666667,1,,0,Gas.zip,,not labelled,
TeleportDAO,6,0.00%,99.93%,0,3,,,1,,,TeleportDAO,,not labelled,
Bando,6,0.00%,99.93%,0,105,-49.27536232,-19.84732824,1,-50,-66.66666667,Bando,,not labelled,
Brume,6,0.00%,99.94%,0,20,-58.33333333,-57.44680851,1,0,0,Brume,,not labelled,
cyberninjaslab,6,0.00%,99.94%,0,4,-66.66666667,,1,0,,cyberninjaslab,,not labelled,
HackQuest (Moonshot Labs),6,0.00%,99.94%,0,4,,-77.77777778,1,,-66.66666667,HackQuest (Moonshot Labs),,not labelled,
Hemera Protocol,5,0.00%,99.94%,0,10,150,0,5,150,25,Hemera Protocol,,not labelled,
General NFT Tools,5,0.00%,99.94%,0,20,-70.14925373,-48.71794872,4,-60,-42.85714286,General NFT Tools,,not labelled,
Ithaca,5,0.00%,99.94%,0,2,,-81.81818182,2,,-66.66666667,Ithaca,,not labelled,
Parifi,5,0.00%,99.94%,0,3,-82.35294118,-90.625,2,0,0,Parifi,,not labelled,
Kelp,5,0.00%,99.94%,0,4,,,2,,,Kelp,,not labelled,
HMX,5,0.00%,99.94%,0,10,,,2,,,HMX,,not labelled,
Crestal Network,5,0.00%,99.94%,0,6,-82.35294118,500,2,-60,100,Crestal Network,,not labelled,
BitCanna,5,0.00%,99.94%,0,3,,-25,1,,0,BitCanna,,not labelled,
Mole Finance,5,0.00%,99.94%,0,1,,,1,,,Mole Finance,,not labelled,
Orbit Chain,5,0.00%,99.94%,0,1,,,1,,,Orbit Chain,,not labelled,
DeFiHackLabs,5,0.00%,99.95%,0,14,0,-97.99426934,1,0,-98.85057471,DeFiHackLabs,,not labelled,
MagicCraft,5,0.00%,99.95%,0,18,125,,1,0,,MagicCraft,,not labelled,
Quarry Protocol,5,0.00%,99.95%,0,7,133.3333333,250,1,-50,0,Quarry Protocol,,not labelled,
rome blockchain labs,5,0.00%,99.95%,0,4,,,1,,,rome blockchain labs,,not labelled,
Mu Protocol,5,0.00%,99.95%,0,1,,,1,,,Mu Protocol,,not labelled,
HorizonX,5,0.00%,99.95%,0,11,450,,1,0,,HorizonX,,not labelled,
Coong Wallet,5,0.00%,99.95%,0,2,100,100,1,0,0,Coong Wallet,,not labelled,
Wasabi (Dkoda Labs),5,0.00%,99.95%,0,8,-78.94736842,700,1,-66.66666667,0,Wasabi (Dkoda Labs),,not labelled,
Lendle.xyz,5,0.00%,99.95%,0,1,,,1,,,Lendle.xyz,,not labelled,
Crux Finance,5,0.00%,99.95%,0,1,,,1,,,Crux Finance,,not labelled,
Tokenbound,5,0.00%,99.95%,0,1,,,1,,,Tokenbound,,not labelled,
River Protocol,4,0.00%,99.95%,0,58,45,16,12,50,9.090909091,River Protocol,,not labelled,
Xaya,4,0.00%,99.95%,0,26,-23.52941176,-42.22222222,6,-25,-50,Xaya,,not labelled,
Comm E2E,4,0.00%,99.95%,0,63,61.53846154,-46.15384615,6,20,-14.28571429,Comm E2E,,not labelled,
Bitcoin Cash ABC,4,0.00%,99.95%,0,29,16,0,6,0,0,Bitcoin Cash ABC,,not labelled,
Ark Network,4,0.00%,99.95%,0,6,-14.28571429,-62.5,4,0,0,Ark Network,,not labelled,
Tensorplex Labs,4,0.00%,99.96%,0,12,50,-63.63636364,4,33.33333333,-33.33333333,Tensorplex Labs,,not labelled,
Pocketnet (Bastyon),4,0.00%,99.96%,0,22,100,1000,4,33.33333333,300,Pocketnet (Bastyon),,not labelled,
Tapestry Protocol,4,0.00%,99.96%,0,9,-18.18181818,200,3,200,200,Tapestry Protocol,,not labelled,
Stacker News,4,0.00%,99.96%,0,39,116.6666667,44.44444444,3,0,50,Stacker News,,not labelled,
Axis Finance,4,0.00%,99.96%,0,11,,,3,,,Axis Finance,,not labelled,
Ramses Exchange,4,0.00%,99.96%,0,15,400,,3,50,,Ramses Exchange,,not labelled,
CodeGov,4,0.00%,99.96%,0,3,-75,,3,0,,CodeGov,,not labelled,
Alexandria,4,0.00%,99.96%,0,8,-20,14.28571429,2,100,0,Alexandria,,not labelled,
Exo,4,0.00%,99.96%,0,18,-66.66666667,-18.18181818,2,-66.66666667,-50,Exo,,not labelled,
Mantra Chain,4,0.00%,99.96%,0,8,700,-82.22222222,2,100,-71.42857143,Mantra Chain,,not labelled,
Fixes World,4,0.00%,99.96%,0,6,,-14.28571429,2,,0,Fixes World,,not labelled,
Triad Labs,4,0.00%,99.96%,0,26,18.18181818,-31.57894737,2,0,-50,Triad Labs,,not labelled,
Hyperbolic,4,0.00%,99.96%,0,3,-62.5,-40,1,-66.66666667,-50,Hyperbolic,,not labelled,
Merchant Moe,4,0.00%,99.96%,0,1,,-75,1,,-50,Merchant Moe,,not labelled,
Miracle Play,4,0.00%,99.96%,0,9,-25,12.5,1,0,0,Miracle Play,,not labelled,
Solana Beach,4,0.00%,99.96%,0,1,,,1,,,Solana Beach,,not labelled,
Solidproof.io,4,0.00%,99.96%,0,1,-90,-66.66666667,1,-50,-50,Solidproof.io,,not labelled,
Nautilus,4,0.00%,99.96%,0,10,-69.6969697,150,1,-50,-50,Nautilus,,not labelled,
FleetSDK,4,0.00%,99.97%,0,5,400,-72.22222222,1,0,-50,FleetSDK,,not labelled,
ViewBlock,4,0.00%,99.97%,0,1,,,1,,,ViewBlock,,not labelled,
Lenstube,4,0.00%,99.97%,0,10,233.3333333,-81.48148148,1,-50,0,Lenstube,,not labelled,
CoinStats,4,0.00%,99.97%,0,6,0,,1,0,,CoinStats,,not labelled,
Polkamarkets,4,0.00%,99.97%,0,1,-90.90909091,-90.90909091,1,-50,0,Polkamarkets,,not labelled,
PeckShield,4,0.00%,99.97%,0,1,0,0,1,0,0,PeckShield,,not labelled,
Ignition Pillar,4,0.00%,99.97%,0,6,,,1,,,Ignition Pillar,,not labelled,
Defiprime,4,0.00%,99.97%,0,4,0,100,1,0,0,Defiprime,,not labelled,
Glo Foundation (Glo Dollar),4,0.00%,99.97%,0,4,300,100,1,0,0,Glo Foundation (Glo Dollar),,not labelled,
Nostra,4,0.00%,99.97%,0,1,,0,1,,0,Nostra,,not labelled,
Protokit,4,0.00%,99.97%,0,4,300,-66.66666667,1,0,0,Protokit,,not labelled,
Supervillain Labs,4,0.00%,99.97%,0,7,,133.3333333,1,,0,Supervillain Labs,,not labelled,
XLink,4,0.00%,99.97%,0,1,,-96.2962963,1,,-75,XLink,,not labelled,
Alpha Fi,3,0.00%,99.97%,0,28,75,1300,7,40,600,Alpha Fi,,not labelled,
Ponder,3,0.00%,99.97%,0,44,-8.333333333,83.33333333,6,50,50,Ponder,,not labelled,
Stargate,3,0.00%,99.97%,0,14,133.3333333,,5,0,,Stargate,,not labelled,
Project Awakening,3,0.00%,99.97%,0,6,500,-75,4,300,-55.55555556,Project Awakening,,not labelled,
jumper.exchange,3,0.00%,99.97%,0,19,90,26.66666667,4,-20,-33.33333333,jumper.exchange,,not labelled,
RAMSES,3,0.00%,99.97%,0,15,400,,3,50,,RAMSES,,not labelled,
Alphaday,3,0.00%,99.98%,0,5,,,3,,,Alphaday,,not labelled,
Immersve,3,0.00%,99.98%,0,4,0,0,3,-25,0,Immersve,,not labelled,
World of Dypians,3,0.00%,99.98%,0,61,7.01754386,6000,3,50,200,World of Dypians,,not labelled,
kongswap,3,0.00%,99.98%,0,172,1128.571429,,3,50,,kongswap,,not labelled,
Codama,3,0.00%,99.98%,0,74,-7.5,1380,3,0,200,Codama,,not labelled,
KiloExPerp,3,0.00%,99.98%,0,8,,,3,,,KiloExPerp,,not labelled,
Splash Protocol,3,0.00%,99.98%,0,10,-37.5,66.66666667,3,50,50,Splash Protocol,,not labelled,
Vabble,3,0.00%,99.98%,0,42,,,2,,,Vabble,,not labelled,
Stork Network,3,0.00%,99.98%,0,3,-57.14285714,,2,-33.33333333,,Stork Network,,not labelled,
Fishcake,3,0.00%,99.98%,0,2,,-33.33333333,2,,100,Fishcake,,not labelled,
GLAM,3,0.00%,99.98%,0,4,-42.85714286,0,2,0,0,GLAM,,not labelled,
Sablier,3,0.00%,99.98%,0,2,0,-33.33333333,2,100,100,Sablier,,not labelled,
DIslands,3,0.00%,99.98%,0,2,0,-77.77777778,2,100,100,DIslands,,not labelled,
BloFin Exchange,3,0.00%,99.98%,0,3,0,,2,100,,BloFin Exchange,,not labelled,
Bonzo,3,0.00%,99.98%,0,1,,,1,,,Bonzo,,not labelled,
Honeycomb Protocol,3,0.00%,99.98%,0,1,,-94.11764706,1,,-50,Honeycomb Protocol,,not labelled,
Turbin3,3,0.00%,99.98%,0,3,0,200,1,-50,0,Turbin3,,not labelled,
waterneuron,3,0.00%,99.98%,0,13,62.5,-7.142857143,1,-50,0,waterneuron,,not labelled,
CoinTool,3,0.00%,99.98%,0,13,18.18181818,-35,1,0,0,CoinTool,,not labelled,
Cyberscope,3,0.00%,99.98%,0,8,14.28571429,14.28571429,1,0,0,Cyberscope,,not labelled,
Sencha,3,0.00%,99.98%,0,7,0,0,1,0,0,Sencha,,not labelled,
Passbird,3,0.00%,99.98%,0,3,,200,1,,0,Passbird,,not labelled,
Celo Tracker,3,0.00%,99.98%,0,166,2.469135802,1.219512195,1,0,0,Celo Tracker,,not labelled,
Fantom Starter,3,0.00%,99.98%,0,265,-8.620689655,-10.77441077,1,0,0,Fantom Starter,,not labelled,
RektHQ,3,0.00%,99.99%,0,2,-33.33333333,0,1,0,0,RektHQ,,not labelled,
CycleOps,3,0.00%,99.99%,0,9,,,1,,,CycleOps,,not labelled,
Inferix,3,0.00%,99.99%,0,2,,-96.36363636,1,,-85.71428571,Inferix,,not labelled,
EtherScale,3,0.00%,99.99%,0,3,-62.5,,1,0,,EtherScale,,not labelled,
Backpack Exchange,3,0.00%,99.99%,0,11,-38.88888889,,1,-50,,Backpack Exchange,,not labelled,
SaintAI,3,0.00%,99.99%,0,14,27.27272727,,1,-50,,SaintAI,,not labelled,
Sisyphe,3,0.00%,99.99%,0,4,-33.33333333,100,1,0,0,Sisyphe,,not labelled,
Stakeworld,3,0.00%,99.99%,0,14,-33.33333333,-41.66666667,1,0,0,Stakeworld,,not labelled,
Suilend,2,0.00%,99.99%,0,76,85.36585366,985.7142857,4,300,300,Suilend,,not labelled,
Thrackle,2,0.00%,99.99%,0,5,-16.66666667,25,4,33.33333333,33.33333333,Thrackle,,not labelled,
Edge,2,0.00%,99.99%,0,33,-15.38461538,-50.74626866,4,-20,0,Edge,,not labelled,
concero,2,0.00%,99.99%,0,36,-5.263157895,-50.68493151,3,0,-25,concero,,not labelled,
zkVerify,2,0.00%,99.99%,0,11,-35.29411765,175,3,-25,50,zkVerify,,not labelled,
Aikin,2,0.00%,99.99%,0,7,,250,2,,0,Aikin,,not labelled,
Orchid Protocol,2,0.00%,99.99%,0,7,16.66666667,600,2,0,100,Orchid Protocol,,not labelled,
Realm of Ra,2,0.00%,99.99%,0,4,33.33333333,0,2,0,0,Realm of Ra,,not labelled,
Telegram Open Network,2,0.00%,99.99%,0,2,-33.33333333,,2,0,,Telegram Open Network,,not labelled,
TND Payments,2,0.00%,99.99%,0,1,,,1,,,TND Payments,,not labelled,
Pump BTC,2,0.00%,99.99%,0,1,,,1,,,Pump BTC,,not labelled,
Zest Protocol,2,0.00%,99.99%,0,21,,,1,,,Zest Protocol,,not labelled,
